644581985160028160,1,1,1.0
644581985160028160,2,1,1.0
644581985160028160,3,1,1.0
644581985160028160,4,1,1.0
644581985160028160,5,1,1.0
644581985550143488,6,2,1.0
644581986586226688,7,1,1.0
644581986586226688,8,1,1.0
644581986586226688,9,1,1.0
644581986586226688,10,1,1.0
644581986586226688,11,1,1.0
644581986586226688,12,1,1.0
644581986586226688,13,1,1.0
644581986586226688,14,1,1.0
644581986586226688,15,1,1.0
644581986871341056,8,1,1.0
644581986871341056,16,1,1.0
644581986871341056,17,1,1.0
644581986871341056,18,1,1.0
644581986871341056,19,1,1.0
644581986976296960,20,1,1.0
